username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,
myBeautifulBC,myBeautifulBC,12/11/2009 14:57,2,0,Burnaby School District Installs Local Carmanah Solar Technology http://www.carmanah.com/Company/Press_Room/Show_News_Release.aspx?ID=292,,,,6576961172,https://twitter.com/myBeautifulBC/status/6576961172,
AMEinfo,AMEInfonews,12/12/2009 1:58,0,0,Latest news - PTL Solar and Carmanah Technologies establish Middle East manufacturing partnership for facility in E... http://bit.ly/5h20YW,,,,6593341586,https://twitter.com/AMEInfonews/status/6593341586,
Electrical Business,EBMag,12/16/2009 23:32,0,0,Carmanah Technologies unveiled its newest design in solar LED lighting: the EverGEN 1710 solar-powered area light - http://bit.ly/4J2cit,,,,6754366605,https://twitter.com/EBMag/status/6754366605,
WB FINANCIAL LLC,equipment_lease,12/27/2009 18:29,0,0,PTL Solar and Carmanah partner to manufacture solar LED lighting solutions: PTL Solar and Carmanah Technologies are... http://bit.ly/4tfKUe,,,,7103800006,https://twitter.com/equipment_lease/status/7103800006,
Tomas K,igytomas,1/12/2010 14:41,0,0,"EcoMag Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting: Carmanah Te.. http://bit.ly/62D09s",,,,7680016904,https://twitter.com/igytomas/status/7680016904,
Solar Energy News,SolarEnergyNews,1/12/2010 15:29,1,1,"Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting http://bit.ly/5t0Flg",,,,7681470196,https://twitter.com/SolarEnergyNews/status/7681470196,
Solar Energy News,SolarEnergyNews,1/12/2010 15:29,1,1,"Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting http://bit.ly/5t0Flg",,,,7681470196,https://twitter.com/SolarEnergyNews/status/7681470196,
Carmanah Tech. Corp.,CarmanahTech,1/14/2010 12:33,1,0,See pictures of Carmanah EverGEN solar LED area lighting at INB Performing Arts Center in Spokane: http://tinyurl.com/yaprqtw,,,,7755080883,https://twitter.com/CarmanahTech/status/7755080883,
Carmanah Tech. Corp.,CarmanahTech,1/14/2010 12:36,0,0,Carmanah solar outdoor lighting solutions are boldly turning yesterday’s imagination into today's reality:http://tinyurl.com/yazkrdt,,,,7755181382,https://twitter.com/CarmanahTech/status/7755181382,
Carmanah Tech. Corp.,CarmanahTech,1/20/2010 19:23,1,0,Dr. David Suzuki Public School Powers Up with Carmanah Solar Technology http://tinyurl.com/yb4qm9l,,,,8006379251,https://twitter.com/CarmanahTech/status/8006379251,
Big4.com,big4,2/5/2010 12:29,0,0,Big4AlumniNews: Bob Wiens - Arthur Andersen. Carmanah Technologies Corporation has appointed Bob Wiens to the Board... http://ow.ly/16vvxV,,,,8685895042,https://twitter.com/big4/status/8685895042,
LEDLightings,LEDlightings,2/9/2010 0:58,0,0,Carmanah Installs Solar Lighting at Marine Facilities in Polynesian IslandsTrading Markets (press release)EverGEN solar http://url4.eu/1LlGz,,,,8843602899,https://twitter.com/LEDlightings/status/8843602899,
LEDinside,LEDinside,2/22/2010 1:19,0,0,Carmanah Installs Solar LED Street Lighting in Phoenix Arizona: Carmanah has completed an installation of EverGEN ... http://bit.ly/bUJFcj,,,,9465050742,https://twitter.com/LEDinside/status/9465050742,
LEDinside,LEDinside,2/22/2010 1:19,0,0,Carmanah Illuminates World Cup Supply Site with Solar LED Aviation Lighting: Carmanah Technologies Corporation has... http://bit.ly/aN2NTN,,,,9465050261,https://twitter.com/LEDinside/status/9465050261,
LEDinside,LEDinside,2/24/2010 1:36,0,0,"Carmanah Illuminates Public Park in Santiago, Chile: A public park in Santiago, Chile is lighting its pathways wit... http://bit.ly/bp4yiZ",,,,9565125131,https://twitter.com/LEDinside/status/9565125131,
Tecnopali,Tecnopali,2/28/2010 14:44,1,0,Lighting: Carmanah Installs Solar LED Street Lighting in Phoenix Arizona ... http://bit.ly/9nJcg4,,,,9788776842,https://twitter.com/Tecnopali/status/9788776842,
Solar Energy News,SolarEnergyNews,3/18/2010 12:49,0,0,Carmanah and Sabik Partner to Deliver Total Marine Lighting Solutions http://goo.gl/fb/AbtY,,,,10679572160,https://twitter.com/SolarEnergyNews/status/10679572160,
LEDinside,LEDinside,3/24/2010 2:41,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,
LEDinside,LEDinside,3/24/2010 2:41,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,
LEDinside,LEDinside,3/24/2010 2:41,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,
Kaushik Choudhary,kaushcho,5/5/2010 16:26,0,0,"Vancouver island (French beach, Port Renfrew, Botanical Beach, Lake Cowichan, Carmanah Provincial Park, Dunkan, Victoria)- EXPLORED!",,,,13445592063,https://twitter.com/kaushcho/status/13445592063,
Bill Gade,TopSEOranking,5/6/2010 19:52,0,0,"Carmanah Reports Q1 2010 Results: First quarter Signals & Illumination sales increased to $6.4 million from $5.6 million, mainly due t...",,,,13515763004,https://twitter.com/TopSEOranking/status/13515763004,
LEDinside,LEDinside,5/10/2010 23:44,0,0,Carmanah Technologies to Unveil Solar Lighting Innovations at LightFair 2010: Carmanah Technologies is unveiling s... http://bit.ly/bSkUFY,,,,13767495262,https://twitter.com/LEDinside/status/13767495262,
Eco Concept,ecoconcept,5/27/2010 18:07,0,0,Carmanah Technologies Corporation (TSX:CMH) Announces ... - Transworld News: Carmanah Technologies Corporation (TS... http://bit.ly/dnZ17K,,,,14862265171,https://twitter.com/ecoconcept/status/14862265171,
Carmanah Tech. Corp.,CarmanahTech,6/2/2010 17:30,1,0,Carmanah/Sabik wins four standing offers from Canadian Coast Guard for marine lanterns. http://tinyurl.com/2elpusw,,,,15278120521,https://twitter.com/CarmanahTech/status/15278120521,
Carmanah Tech. Corp.,CarmanahTech,6/2/2010 17:30,1,0,Carmanah/Sabik wins four standing offers from Canadian Coast Guard for marine lanterns. http://tinyurl.com/2elpusw,,,,15278120521,https://twitter.com/CarmanahTech/status/15278120521,
WBrowneNews™,WBrowneNews,6/4/2010 12:42,0,0,Carmanah Gets Solar-powered LED Marine Lanterns Order From CCG http://url4.eu/43S84,,,,15428288675,https://twitter.com/WBrowneNews/status/15428288675,
4-traders.com,ForTraders,6/15/2010 11:50,0,0,# CARMANAH TECH : Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment EffortsCARMANAH T... http://bit.ly/aJpIYo,,@ @,#,1.62E+10,https://twitter.com/ForTraders/status/16233947542,
4-traders.com,ForTraders,6/15/2010 11:50,0,0,# CARMANAH TECH : Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment EffortsCARMANAH T... http://bit.ly/aJpIYo,,,#,16233947542,https://twitter.com/ForTraders/status/16233947542,
Tech Flypaper,techflypaper,6/15/2010 11:51,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment Efforts http://is.gd/cQksd,,,,16234084779,https://twitter.com/techflypaper/status/16234084779,
LedGrowLamp,LedGrowLamp,6/15/2010 12:20,0,0,New post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://cli.gs/mSsj0,,,,16236110134,https://twitter.com/LedGrowLamp/status/16236110134,
Global Business Buzz,globalbuzzonbiz,6/15/2010 13:23,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...: ... or to be expending valuable manpowe... http://bit.ly/8XcOX2,,,,16240540684,https://twitter.com/globalbuzzonbiz/status/16240540684,
Marc Seelinger,SwampSchool,6/15/2010 14:18,0,0,Post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://zip.li/KSXM,,,,1.62E+10,https://twitter.com/SwampSchool/status/16244035223,
Marc Seelinger,SwampSchool,6/15/2010 14:18,0,0,Post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://zip.li/KSXM,,,,16244035223,https://twitter.com/SwampSchool/status/16244035223,
Not really Vidfair,Vidfair,6/15/2010 14:43,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... http://bit.ly/9jTMsW,,,,16245561007,https://twitter.com/Vidfair/status/16245561007,
Environment BC,EnvBC,6/15/2010 19:48,0,0,Carmanah lighting oil spill containment booms - solar LED lanterns deployed in the Gulf of Mexico. http://bit.ly/9SRgO9,,,,16263910432,https://twitter.com/EnvBC/status/16263910432,
Hutcheson and Co.,HutchesonAndCo,6/16/2010 9:53,0,0,http://www.VIBN.ca: On the Street: Carmanah lanterns illuminating Gulf oil disaster: Solar-powered lanterns from V... http://bit.ly/buFYKi,,,,16307629796,https://twitter.com/HutchesonAndCo/status/16307629796,
LEDLightings,LEDlightings,6/16/2010 22:54,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...NewsBlaze... when all production was http://url4.eu/4cQKb,,@,,1.64E+10,https://twitter.com/LEDlightings/status/16357149071,
LEDLightings,LEDlightings,6/16/2010 22:54,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...NewsBlaze... when all production was http://url4.eu/4cQKb,,,,16357149071,https://twitter.com/LEDlightings/status/16357149071,
Viridus Team,viridus,6/17/2010 1:29,0,0,Carmanah lighting oil spill containment booms: Carmanah Technologies Corp. through its marine partnership with Sab... http://bit.ly/cGDgzk,,,,16366076562,https://twitter.com/viridus/status/16366076562,
Velva Nowak,1spidertr,6/17/2010 3:45,0,0,Carmanah lanterns illuminating Gulf oil disaster - Times Colonist http://tinyurl.com/245m856,,,,16371935756,https://twitter.com/1spidertr/status/16371935756,
LEDinside,LEDinside,6/17/2010 23:14,0,0,Carmanah's supplement for Gulf Oil Spill Containment Efforts: Carmanah Technologies Corp. cooperates with Sabik Oy... http://bit.ly/cKO4l9,,,,16438740717,https://twitter.com/LEDinside/status/16438740717,
BC Innovation Council,bcic,6/18/2010 18:20,0,0,BC’s Carmanah Technologies providing their solar LED lanterns to help mark # oilspill containment booms in the # Gulf http://ow.ly/20nj8,,,# #,16501869830,https://twitter.com/bcic/status/16501869830,
BC Innovation Council,bcic,6/18/2010 18:20,0,0,BC’s Carmanah Technologies providing their solar LED lanterns to help mark # oilspill containment booms in the # Gulf http://ow.ly/20nj8,,,# #,16501869830,https://twitter.com/bcic/status/16501869830,
World Solar News,worldsolarnews,7/8/2010 4:01,0,0,Solarnews: Carmanah Bags CAD1.5m Solar PV Contract In Ontario: Carmanah Technologies has been awarded CAD1.5m cont... http://bit.ly/bOYvzt,,,,18019130673,https://twitter.com/worldsolarnews/status/18019130673,
LEDinside,LEDinside,7/12/2010 23:17,0,0,Carmanah created the Carmanah EverGEN Selector Tool for Solar LED Lighting: Carmanah Technologies Corporation crea... http://bit.ly/bG9bYh,,,,18406001636,https://twitter.com/LEDinside/status/18406001636,
LEDinside,LEDinside,7/12/2010 23:17,0,0,Carmanah created the Carmanah EverGEN Selector Tool for Solar LED Lighting: Carmanah Technologies Corporation crea... http://bit.ly/bG9bYh,,,,18406001636,https://twitter.com/LEDinside/status/18406001636,
Co.Design,FastCoDesign,7/19/2010 11:59,1,0,Lighting manufacturer Carmanah has partnered with a team at frog design to create a series of solar LED streetlamps: http://bit.ly/9BfZq2,,,,18926184344,https://twitter.com/FastCoDesign/status/18926184344,
LEDinside,LEDinside,7/28/2010 21:31,0,0,Carmanah offers solar LED illumination for Selkirk Trestle Bridge: Carmanah Technologies Corporation installs 26 E... http://bit.ly/bNH40A,,,,19786835313,https://twitter.com/LEDinside/status/19786835313,
Dhanabir Thokchom,PoliticalWars,8/10/2010 17:05,0,0,"Carmanah Reports Q2 2010 Results: With Semex, we continue to focus on both local Mexican lighting and traffic sign... http://bit.ly/bucD5R",,,,20825384428,https://twitter.com/PoliticalWars/status/20825384428,
LEDinside,LEDinside,8/15/2010 23:59,0,0,A Bus Stop of LA City Installed Carmanah Solar LED Lighting: Carmanah EverGEN 1710 solar LED lighting systems have... http://bit.ly/bymX4B,,,,21285579179,https://twitter.com/LEDinside/status/21285579179,
Solar Energy News,SolarEnergyNews,9/15/2010 13:39,0,0,Carmanah Solar Flashing Beacons Improve School Zone Safety in Time for Back to School http://goo.gl/fb/mubCh,,,,24589971745,https://twitter.com/SolarEnergyNews/status/24589971745,
Easy Green Energy,EasyGreenEnergy,9/15/2010 15:49,0,0,"Carmanah Solar Flashing Beacons Improve School Zone Safety in Time for Back to ...: VICTORIA, British Columbia, Se... http://bit.ly/a2g4Dw",,,,24598536786,https://twitter.com/EasyGreenEnergy/status/24598536786,
LEDinside,LEDinside,9/16/2010 1:02,0,0,Carmanah supplied 52 solar LED flashing beacons to Bethany district school zones: Carmanah Technologies Corporatio... http://bit.ly/aKlSbK,,,,24637445795,https://twitter.com/LEDinside/status/24637445795,
LEDinside,LEDinside,9/16/2010 1:02,0,0,Carmanah supplied 52 solar LED flashing beacons to Bethany district school zones: Carmanah Technologies Corporatio... http://bit.ly/aKlSbK,,,,24637445795,https://twitter.com/LEDinside/status/24637445795,
Marilyn Morehouse,TrafficDepot,9/18/2010 5:23,0,0,Traffic Depot Update Carmanah's Solar LED Flashing Beacons Enhance Bethany's School Zone Safety http://bit.ly/akFtwd # school # traffic,,,# #,24835673427,https://twitter.com/TrafficDepot/status/24835673427,
Carmanah Tech. Corp.,CarmanahTech,9/21/2010 13:03,1,0,"Carmanah Technologies to Acquire Lightech Electronic Industries, specialists in LED power supplies:http://tinyurl.com/33zthyn #solar#led",,,#solar #led,25135673987,https://twitter.com/CarmanahTech/status/25135673987,
LEDinside,LEDinside,9/24/2010 21:39,0,0,"US Coast Guard order Over 2,500 solar LED marine lanterns from Carmanah: Recently, the United States Coast Guard h... http://bit.ly/axHD7s",,,,25457948871,https://twitter.com/LEDinside/status/25457948871,
Yaroslav LEDs Review,ledsreview,10/5/2010 8:41,0,0,Carmanah Solar LED Airfield Lights Chosen for Calgary International Airport Upgrade http://bit.ly/d2hoWj,,,,26452401904,https://twitter.com/ledsreview/status/26452401904,
LEDinside,LEDinside,10/10/2010 22:35,0,0,Calgary International Airport Chose Carmanah solar LED airfield lights for Facility Upgrade: Carmanah solar LED ai... http://bit.ly/bVjQnd,,,,26994770392,https://twitter.com/LEDinside/status/26994770392,
LEDinside,LEDinside,10/12/2010 21:31,0,0,Trojan Battery for Carmanah's Outdoor Solar LED Lights: Carmanah Technologies Corporation has set up a strategic p... http://bit.ly/aEsp23,,,,27195508709,https://twitter.com/LEDinside/status/27195508709,
Investment Pitch,InvestmentPitch,10/13/2010 14:10,0,0,VIDEO NEWS ALERT: Carmanah Technologies Corp. - leading provider of stand-alone solar-powered LED lights and beacons: http://fb.me/Lz4LRRVL,,,,27264497123,https://twitter.com/InvestmentPitch/status/27264497123,
Carmanah Tech. Corp.,CarmanahTech,10/29/2010 14:49,2,1,Carmanah Technologies named to Canada's Cleantech Top 10 for 4th Consecutive Year. http://tinyurl.com/32b989r # solar,,,#,29113781833,https://twitter.com/CarmanahTech/status/29113781833,
Carmanah Tech. Corp.,CarmanahTech,11/1/2010 13:55,0,0,Venezuela Air Force chooses Carmanah/ADB lighting system for airfield upgrade http://tinyurl.com/24bxahp,,,,29393611813,https://twitter.com/CarmanahTech/status/29393611813,
Solar Energy News,SolarEnergyNews,11/9/2010 12:58,0,0,Large Electric Utility Company Employs Carmanah Solar-Powered Lighting for Nuclear Station… http://goo.gl/fb/1hECm,,,,2.06E+15,https://twitter.com/SolarEnergyNews/status/2057558495858688,
PHP_Listens,PHP_Listens,3/1/2011 13:01,0,0,Converting older incandescent indications to Carmanah Solar Flashing LED Beacons will save local agencies money http://ht.ly/42axW,,,,4.26E+16,https://twitter.com/PHP_Listens/status/42645642237067264,
