username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Flash Technology,flashtechnology,2/2/2018 10:00,1,3,Thank you to these fine men who are celebrating more than 10 years with Flash! Mark Lane (18 years) | Jim Brown (18 years) | Randy Leggett (18 years) | Russ Bruner (11 years) This month's image is from Mark's 2008 site visit to @ FreeportLNG in @ cityof_freeport.pic.twitter.com/YaWgFKplph,,@ @,,9.59E+17,https://twitter.com/flashtechnology/status/959441445894742017
Flash Technology,flashtechnology,9/13/2017 11:54,1,3,Engineer Scott Fulton discusses # obstructionlighting & # engineeringcareers with # engineeringstudents at @ lipscomb this morning. # flashaboutpic.twitter.com/968qP1PmcD,,@,# # # #,9.08E+17,https://twitter.com/flashtechnology/status/907995944016216065
StorageCraft,StorageCraft,4/24/2018 17:20,0,3,"In the world of # technology, all-flash # storage is seen as being in the ivory tower & still the purview of high-end # primary # applications & larger companies. It's now time for # flash to become available to all # markets. Check out our full blog post here: http://okt.to/EcVIVF pic.twitter.com/m8DPWTwoZQ",,,# # # # # #,9.89E+17,https://twitter.com/StorageCraft/status/988890332732559361
Flash Technology,flashtechnology,7/6/2018 10:40,0,3,"North of Kabul, Bagram Airfield is the largest US military base in Afghanistan. Erected during the Cold War, the orig runway is a 10,000-ft long dual runway capable of handling any size military aircraft. Bagram AFB runways are marked with Flash's FTS 830 airport lighting system. pic.twitter.com/3SwiRby6jc",,,,1.02E+18,https://twitter.com/flashtechnology/status/1015244142304210944
Flash Technology,flashtechnology,6/25/2018 11:05,0,3,Had a great time with @ al_wireless last week at their charity golf tourney at @ RTJOxmoorValley!pic.twitter.com/OXdNwXptbM,,@ @,,1.01E+18,https://twitter.com/flashtechnology/status/1011264038553227264
Flash Technology,flashtechnology,1/15/2018 10:25,0,3,"In memory of MLK, Jr. # mondaymotivation # climbhigherpic.twitter.com/LsHvlJXqUF",,,# #,9.53E+17,https://twitter.com/flashtechnology/status/952924636785922048
Flash Technology,flashtechnology,6/6/2018 10:56,0,3,"Forklift & pedestrian pathways. Padded rubber mats to reduce joint stress & electrical shock. Free # safety goggles. Regular training. We encourage # safepractices in # manufacturing. As a result, we’re 1 of 36 TN sites to earn # TOSHA Volunteer STAR cert! http://ow.ly/wVWM30kmPFj pic.twitter.com/Xy1RINChk6",,,# # # #,1.00E+18,https://twitter.com/flashtechnology/status/1004376399786856448
Flash Technology,flashtechnology,1/16/2018 10:00,0,3,"Snowy Tuesday here in Middle Tennessee. Wherever you are today, stay safe and warm! # snowday # winterwonderlandpic.twitter.com/RCh55wRmSO",,,# #,9.53E+17,https://twitter.com/flashtechnology/status/953280681152532480
Flash Technology,flashtechnology,1/9/2018 10:04,0,3,"Currently the 2nd widest bridge in the world, the @ PortMannBridge spans the # FraserRiver to connect cities within metro @ Vancouver British Columbia. The structure is lit by an FTB 225 xenon lighting system. : Dave with Cobra Electric # bridgelighting # obstructionlightingpic.twitter.com/DUTJky2s85",,@ @,# # #,9.51E+17,https://twitter.com/flashtechnology/status/950745090724593664
Flash Technology,flashtechnology,10/19/2017 10:26,0,3,"Awesome # airportlighting training class at @ FlyYQR in Regina, SK. Fly a lifesize # RCMP Sergeant Bullmoose to us in TN! # flashaboutpic.twitter.com/wdb7wm5EEp",,@,# # #,9.21E+17,https://twitter.com/flashtechnology/status/921019797705551872
Flash Technology,flashtechnology,9/22/2017 11:55,0,3,Fri-nally and Fall! Happy Fall and TGIF from your friends at Flash! pic.twitter.com/y5XBfnF3u2,,,,9.11E+17,https://twitter.com/flashtechnology/status/911257693536620545
Flash Technology,flashtechnology,6/19/2017 13:02,0,3,"Buying parts on Amazon is easier than going through email and dealing with P.O.'s."" Visit our Amazon storefront at http://ow.ly/jja530cIoQM""",,,,8.77E+17,https://twitter.com/flashtechnology/status/876847669565673472
Flash Technology,flashtechnology,5/23/2017 13:40,0,3,Loving @ AWEA # windpower2017 in beautiful @ City_of_Anaheim. Swing by booth 3609 for an FTS 370i or OL800 demo. # flashaboutpic.twitter.com/xZzSdczeug,,@ @,# #,8.67E+17,https://twitter.com/flashtechnology/status/867072724425785344
Flash Technology,flashtechnology,5/22/2017 18:35,0,3,The team had a great time on the links at @ RosenHotels today. A wonderful way to kick off # WIS2017! # flashaboutpic.twitter.com/d4VX2cYheB,,@,# #,8.67E+17,https://twitter.com/flashtechnology/status/866784500453302272
Flash Technology,flashtechnology,10/14/2016 10:50,0,3,Learning about # watts # candella and # lumens with # pagehighschool # williamson_inc # MFGDAY16 # ManufacturingDay # flashaboutpic.twitter.com/XOCUsboDav,,,# # # # # # # #,7.87E+17,https://twitter.com/flashtechnology/status/786942203214127104
Flash Technology,flashtechnology,9/28/2016 12:50,0,3,Gary is ready for # CANEW with an # FTS800 # airportbeacon - Let's discuss your # airportlighting or # heliportlighting needs!pic.twitter.com/BTZQmc9ZBy,,,# # # # #,7.81E+17,https://twitter.com/flashtechnology/status/781174145073618944
Flash Technology,flashtechnology,7/6/2018 10:40,0,3,"North of Kabul, Bagram Airfield is the largest US military base in Afghanistan. Erected during the Cold War, the orig runway is a 10,000-ft long dual runway capable of handling any size military aircraft. Bagram AFB runways are marked with Flash's FTS 830 airport lighting system. pic.twitter.com/3SwiRby6jc",,,,1.02E+18,https://twitter.com/flashtechnology/status/1015244142304210944
Flash Technology,flashtechnology,10/19/2017 10:26,0,3,"Awesome # airportlighting training class at @ FlyYQR in Regina, SK. Fly a lifesize # RCMP Sergeant Bullmoose to us in TN! # flashaboutpic.twitter.com/wdb7wm5EEp",,@,# # #,9.21E+17,https://twitter.com/flashtechnology/status/921019797705551872
